index,x,y,dx,dy
284,-115.1780014,35.8950005,-0.0050049,-0.0617981
285,-115.1559982,35.8992996,-0.0019989,-0.0574989
286,-115.137001,35.9026985,-0.0019989,-0.0541
287,-115.1190033,35.905899,-0.003006,-0.0508995
288,-115.1009979,35.9079018,-0.0049973,-0.0488968
289,-115.0849991,35.9095001,-0.0079956,-0.0472984
290,-115.0670013,35.9115982,-0.0090027,-0.0452003
291,-115.0500031,35.9146996,-0.0110016,-0.042099
292,-115.0350037,35.9180984,-0.015007,-0.0387001
293,-115.0210037,35.9217987,-0.0200043,-0.0349998
294,-115.0049973,35.9257011,-0.022995,-0.0310974
295,-114.9779968,35.9313011,-0.0149994,-0.0254974
296,-114.9509964,35.9366989,-0.0079956,-0.0200996
297,-114.9300003,35.9412994,-0.0059967,-0.0154991
298,-114.9110031,35.9445,-0.0060043,-0.0122986
299,-114.8929977,35.9454994,-0.0069962,-0.0112991
300,-115.4219971,35.9300003,0.0190048,-0.0452995
301,-115.4039993,35.9231987,0.0169983,-0.0521011
302,-115.387001,35.9169998,0.0149994,-0.0583
303,-115.3710022,35.9115982,0.012001,-0.0637016
304,-115.3550034,35.905899,0.0089951,-0.0694008
305,-115.336998,35.8969002,0.0080032,-0.0783997
306,-115.3320007,35.8987999,-0.0060043,-0.0764999
307,-115.3249969,35.901001,-0.0179977,-0.0742989
308,-115.3099976,35.9011993,-0.0219955,-0.0741005
309,-115.2949982,35.9003983,-0.026001,-0.0749016
310,-115.2809982,35.8974991,-0.0319977,-0.0778008
311,-115.276001,35.8960991,-0.0459976,-0.0792007
312,-115.25,35.9025993,-0.0390015,-0.0727005
313,-115.2200012,35.9056015,-0.0279999,-0.0696983
314,-115.1829987,35.9051018,-0.0100021,-0.0701981
315,-115.1470032,35.9054985,0.0069962,-0.0698013
316,-115.1330032,35.9085007,0.0019989,-0.0667992
317,-115.1159973,35.9115982,0,-0.0637016
318,-115.1009979,35.9137001,-0.0049973,-0.0615997
319,-115.0859985,35.9146996,-0.0089951,-0.0606003
320,-115.0660019,35.9163017,-0.0080032,-0.0589981
321,-115.0459976,35.921299,-0.0069962,-0.0540009
322,-115.0319977,35.9253006,-0.012001,-0.0499992
323,-115.0189972,35.9286003,-0.0179977,-0.0466995
324,-115.0029984,35.9320984,-0.0209961,-0.0432014
325,-114.9720001,35.9448013,-0.0090027,-0.0304985
326,-114.9459991,35.9528008,-0.0029983,-0.0224991
327,-114.9229965,35.9604988,0.0010071,-0.014801
328,-114.9079971,35.9662018,-0.0029983,-0.0090981
329,-114.8939972,35.9664001,-0.0079956,-0.0088997
330,-115.4290009,35.9505005,0.012001,-0.0433006
331,-115.4110031,35.9459,0.0099945,-0.0479012
332,-115.3949966,35.9411011,0.0070038,-0.0527
333,-115.3789978,35.9361,0.0040054,-0.0577011
334,-115.362999,35.9300995,0.0009995,-0.0637016
335,-115.3460007,35.9220009,-0.0009995,-0.0718002
336,-115.3330002,35.9146004,-0.0070038,-0.0792007
337,-115.3249969,35.9179001,-0.0179977,-0.075901
338,-115.310997,35.9174004,-0.022995,-0.0764008
339,-115.2959976,35.9160004,-0.0270004,-0.0778008
340,-115.2839966,35.9127998,-0.034996,-0.0810013
341,-115.2679977,35.9151001,-0.0379944,-0.078701
342,-115.2440033,35.9192009,-0.0330048,-0.0746002
343,-115.2180023,35.9216003,-0.026001,-0.0722008
344,-115.189003,35.9221001,-0.0160065,-0.071701
345,-115.1529999,35.9178009,0.0009995,-0.0760002
346,-115.1309967,35.9141006,0.0040054,-0.0797005
347,-115.1119995,35.918499,0.0039978,-0.0753021
348,-115.0999985,35.9210014,-0.0039978,-0.0727997
349,-115.0879974,35.9202995,-0.010994,-0.0735016
350,-115.0619965,35.9263,-0.0039978,-0.0675011
351,-115.0419998,35.9289017,-0.0029983,-0.0648994
352,-115.0270004,35.9328995,-0.0070038,-0.0609016
353,-115.0130005,35.9388008,-0.012001,-0.0550003
354,-114.9860001,35.9556999,-0.0039978,-0.0381012
355,-114.9609985,35.9665985,0.0019989,-0.0272026
356,-114.939003,35.9743004,0.0039978,-0.0195007
357,-114.9150009,35.9807014,0.0090027,-0.0130997
358,-114.9049988,35.9830017,0,-0.0107994
359,-114.8949966,35.9827995,-0.0089951,-0.0110016
360,-115.4329987,35.9710999,0.0080032,-0.0411987
361,-115.4160004,35.9682007,0.0049973,-0.0440979
362,-115.4000015,35.9650002,0.0019989,-0.0472984
363,-115.3850021,35.9609985,-0.0019989,-0.0513
364,-115.3710022,35.9556007,-0.0070038,-0.0566978
365,-115.3550034,35.9477997,-0.0100021,-0.0644989
366,-115.3379974,35.9385986,-0.012001,-0.0737
367,-115.3280029,35.9367981,-0.0210037,-0.0755005
368,-115.314003,35.9338989,-0.026001,-0.0783997
369,-115.2979965,35.9313011,-0.0289993,-0.0809975
370,-115.2829971,35.9309006,-0.0339966,-0.081398
371,-115.2639999,35.9342003,-0.0339966,-0.0780983
372,-115.2399979,35.9373016,-0.0289993,-0.0749969
373,-115.2160034,35.9396019,-0.0240021,-0.0726967
374,-115.1900024,35.9425011,-0.0170059,-0.0697975
375,-115.1620026,35.9420013,-0.0080032,-0.0702972
376,-115.1360016,35.9394989,-0.0009995,-0.0727997
377,-115.1119995,35.9334984,0.0039978,-0.0788002
378,-115.0979996,35.9320984,-0.0019989,-0.0802002
379,-115.0820007,35.9375992,-0.0049973,-0.0746994
380,-115.0569992,35.9440994,0.0009995,-0.0681992
381,-115.0339966,35.9497986,0.0050049,-0.0625
382,-115.012001,35.9584999,0.0079956,-0.0537987
383,-114.987999,35.9735985,0.0130005,-0.0387001
384,-114.9670029,35.9886017,0.0149994,-0.0236969
385,-114.9509964,35.9954987,0.012001,-0.0167999
386,-114.9319992,36.0013008,0.0110016,-0.0109978
387,-114.9140015,36.0009003,0.0100021,-0.0113983
388,-114.9049988,35.9972992,0,-0.0149994
389,-114.8960037,35.9963989,-0.0100021,-0.0158997
390,-115.435997,35.9920006,0.0050049,-0.0387993
391,-115.4199982,35.9911003,0.0009995,-0.0396996
392,-115.4049988,35.9898987,-0.0029983,-0.0409012
393,-115.3919983,35.9877014,-0.0089951,-0.0430984
394,-115.3789978,35.9846992,-0.0149994,-0.0461006
395,-115.3639984,35.9743004,-0.0189972,-0.0564995
396,-115.3470001,35.9644012,-0.0210037,-0.0663986
397,-115.3320007,35.9589005,-0.0250015,-0.0718994
398,-115.3180008,35.9547997,-0.0299988,-0.0760002
399,-115.3000031,35.9519005,-0.0310059,-0.0788994
400,-115.2819977,35.9516983,-0.0329971,-0.0791016
401,-115.2610016,35.953701,-0.0309982,-0.0770988
402,-115.2369995,35.9556999,-0.026001,-0.0750999
403,-115.2129974,35.9576988,-0.0209961,-0.073101
404,-115.189003,35.959301,-0.0160065,-0.0714989
405,-115.1640015,35.9595985,-0.0100021,-0.0712013
406,-115.1399994,35.9584999,-0.0049973,-0.0723
407,-115.1169968,35.9564018,-0.0009995,-0.074398
408,-115.0950012,35.9548988,0.0009995,-0.075901
409,-115.0739975,35.9583015,0.003006,-0.0724983
410,-115.0500031,35.9637985,0.0079956,-0.0670013
411,-115.0240021,35.9710999,0.0149994,-0.0597
412,-114.9960022,35.9842987,0.0239944,-0.0465012
413,-114.9759979,35.9942017,0.0250015,-0.0365982
414,-114.961998,35.9995995,0.0200043,-0.0312004
415,-114.9459991,36.0060005,0.0169983,-0.0247993
416,-114.9300003,36.0105019,0.0130005,-0.020298
417,-114.9169998,36.0115013,0.0070038,-0.0192986
418,-114.9059982,36.0107002,-0.0009995,-0.0200996
419,-114.8960037,36.0103989,-0.0100021,-0.020401
420,-115.435997,36.0127983,0.0050049,-0.0365028
421,-115.4209976,36.0152016,0,-0.0340996
422,-115.4079971,36.0173988,-0.0059967,-0.0319023
423,-115.3970032,36.0140991,-0.0139999,-0.035202
424,-115.387001,36.0071983,-0.0230026,-0.0421028
425,-115.3740005,35.9990997,-0.0289993,-0.0502014
426,-115.3550034,35.9888992,-0.029007,-0.0604019
427,-115.3379974,35.980999,-0.0309982,-0.0683022
428,-115.3219986,35.9762001,-0.0339966,-0.073101
429,-115.302002,35.9733009,-0.0330048,-0.0760002
430,-115.2809982,35.9723015,-0.0319977,-0.0769997
431,-115.2590027,35.9729004,-0.0289993,-0.0764008
432,-115.2350006,35.9743004,-0.0240021,-0.0750008
433,-115.211998,35.9758987,-0.0199966,-0.0734024
434,-115.1880035,35.9768982,-0.015007,-0.072403
435,-115.1640015,35.9776001,-0.0100021,-0.071701
436,-115.1409988,35.9776993,-0.0059967,-0.0716019
437,-115.1179962,35.9771996,-0.0019989,-0.0721016
438,-115.0940018,35.9780006,0.0019989,-0.0713005
439,-115.0699997,35.9804993,0.0070038,-0.0688019
440,-115.0429993,35.9855995,0.0149994,-0.0637016
441,-115.0159988,35.9929008,0.0230026,-0.0564003
442,-114.9869995,36.0018997,0.0329971,-0.0474014
443,-114.973999,36.0038986,0.0270004,-0.0454025
444,-114.9589996,36.0088997,0.0230026,-0.0404015
445,-114.9420013,36.0153999,0.0209961,-0.0339012
446,-114.9280014,36.0195999,0.0149994,-0.0297012
447,-114.9160004,36.021801,0.0080032,-0.0275002
448,-114.9049988,36.0229988,0,-0.0263023
449,-114.8960037,36.0239983,-0.0100021,-0.0253029
450,-115.4329987,36.0329018,0.0080032,-0.0349998
451,-115.4209976,36.0312996,0,-0.036602
452,-115.4110031,36.0284004,-0.0090027,-0.0395012
453,-115.4000015,36.0251007,-0.0169983,-0.0428009
454,-115.3909988,36.0222015,-0.0270004,-0.0457001
455,-115.3799973,36.0214996,-0.034996,-0.046402
456,-115.3649979,36.0147018,-0.0390015,-0.0531998
457,-115.3450012,36.0013008,-0.038002,-0.0666008
458,-115.3249969,35.9956017,-0.0369949,-0.0723
459,-115.3040009,35.9926987,-0.0350037,-0.0752029
460,-115.2809982,35.9915009,-0.0319977,-0.0764008
461,-115.2580032,35.9915009,-0.0279999,-0.0764008
462,-115.2340012,35.9926987,-0.0230026,-0.0752029
463,-115.2099991,35.9947014,-0.0179977,-0.0732002
464,-115.1869965,35.9970016,-0.0139999,-0.0709
465,-115.163002,35.9990005,-0.0090027,-0.0689011
466,-115.1399994,36.0001984,-0.0049973,-0.0677032
467,-115.1179962,36.0009995,-0.0019989,-0.0669022
468,-115.0920029,36.0021019,0.0039978,-0.0657997
469,-115.0660019,36.0046005,0.0110016,-0.0633011
470,-115.0390015,36.0084,0.0189972,-0.0595016
471,-115.0080032,36.0145988,0.0309982,-0.0533028
472,-114.9860001,36.0173988,0.0339966,-0.0505028
473,-114.9690018,36.021801,0.0319977,-0.0461006
474,-114.9540024,36.0257988,0.0279999,-0.0421028
